,Road name,Economic Traffic,No Lanes,Heavy Truck,Medium Truck,Small Truck,Large Bus,Medium Bus,Micro Bus,Utility,Car,Auto Rickshaw,Motor Cycle,Bi-Cycle,Cycle Rickshaw,Cart,Motorized Total,Non Motorized Total,Total Traffic
14,N119,18753.0,5.73,0.0,255.15706806282722,184.2801047120419,188.53272251308903,90.72251308900523,569.8507853403141,79.38219895287958,718.6924083769633,3112.916230366492,880.291884816754,314.69371727748694,1448.7251308900525,0.0,6079.825916230367,1763.4188481675394,7843.244764397906
15,N120,229668.89999999997,42.65,0.0,1933.6487339805822,3121.244019417475,3440.9812116504854,1514.945267961165,3935.812580582524,3189.7591320388347,1773.7801378640775,21407.166299029122,6250.100829126213,350.1883533980582,852.6325126213592,0.0,46567.438211650486,1202.8208660194173,47770.2590776699
16,N2,16918147.087,595.752,41089.39301186111,212373.27550275472,90238.59035920585,135859.34140275588,37841.748118373755,146048.31636385774,28428.081399140006,100332.17886270488,301626.85791871697,72374.52441743709,23332.221390584757,55796.2447934645,697.8430619906151,1166212.3073568076,79826.30924603986,1246038.6166028483
17,N204,256092.24,53.121999999999986,0.0,3931.5178173336435,4244.252189167001,692.4832519167213,848.8504378334003,4556.986561000359,960.5412849167424,2055.1115863334953,24996.41157725197,8443.828039500666,2836.9475159168906,5137.778965833739,0.0,50729.982745254,7974.726481750629,58704.70922700463
18,N205,18436.32,5.5840000000000005,0.0,199.64266666666668,215.5233333333333,35.16433333333333,43.10466666666667,231.404,48.776333333333326,104.35866666666666,1269.319,428.778,144.06033333333335,260.89666666666665,0.0,2576.071,404.957,2981.0280000000002
19,N206,7922.973,5.89,0.5482528013582343,45.50498251273344,78.94840339558573,0.0,15.351078438030559,114.03658268251272,14.25457283531409,95.39598743633276,1839.9364013582342,610.2053679117148,214.36684533106958,1188.612073344652,0.0,2814.181629371816,1402.9789186757214,4217.160548047538
20,N207,814737.3390000002,108.684,700.6917630338571,9561.052121397468,7052.123550534304,4475.386099377539,3209.6203338970226,7300.756111610833,3661.6795358543495,8724.742597776414,58632.07849386532,10555.582365703587,3187.0173737991563,3390.4440146799534,0.0,113873.71297305069,6577.46138847911,120451.17436152982
21,N208,508539.529,40.431999999999995,179.8219285714286,6408.054542857144,5368.071371428572,513.6323428571429,7325.058314285715,6462.557814285715,1231.0735571428572,7427.541371428571,29780.52505714285,10622.847185714287,2512.6321000000007,4992.906085714286,97.59550000000006,75319.18348571428,7603.133685714287,82922.31717142857
22,N209,38550.05,3.5799999999999996,0.49410614525139673,246.55896648044694,508.9293296089386,560.3163687150839,891.861592178771,837.015810055866,111.17388268156427,462.48335195530734,2393.450167597766,614.1739385474862,182.3251675977654,2609.8686592178774,36.56385474860336,6626.457513966481,2828.757681564246,9455.215195530727
23,N210,314313.34,22.718000000000004,5.182041335978835,2585.8386266534385,5337.502576058199,5876.434874999998,9353.584611441796,8778.378023148147,1165.959300595238,4850.39069047619,25101.808231481475,6441.277380621692,1912.1732529761898,27371.542336640203,383.4710588624338,69496.35635681215,29667.186648478826,99163.543005291
