,Road,LRPName,LRPStart Point,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process,Heavy Truck Create,Heavy Truck Destroy,Medium Truck Create,Medium Truck Destroy,Small Truck Create,Small Truck Destroy,Large Bus Create,Large Bus Destroy,Medium Bus Create,Medium Bus Destroy,Micro Bus Create,Micro Bus Destroy,Utility Create,Utility Destroy,Car Create,Car Destroy,Auto Rickshaw Create,Auto Rickshaw Destroy,Motor Cycle Create,Motor Cycle Destroy,Bi-Cycle Create,Bi-Cycle Destroy,Cycle Rickshaw Create,Cycle Rickshaw Destroy,Cart Create,Cart Destroy,Motorized Total Create,Motorized Total Destroy
22,N1,LRP011,no,23.696638600000004,90.53480520000001,10.503,0,0.0,0,LRP010b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,N1,LRP010b,no,23.69439061,90.53757408,10.88,NOYAPARA CULVERT,6.3,A,LRP011a,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,N1,LRP011a,no,23.694360800000002,90.5376108,10.885,0,0.0,0,LRP010c,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,N1,LRP010c,no,23.69430239,90.53770737,10.897,ADUPUR CULVERT,6.3,A,LRP011b,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,N1,LRP011b,no,23.6922774,90.5410552,11.312999999999999,0,0.0,0,LRP012,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,N1,LRP012,yes,23.6918052,90.5426108,11.497,0,0.0,0,LRP012a,BlankProcess,0.0,0.9,0.0,25.5,0.0,18.2,0.0,16.8,0.0,14.1,0.0,12.3,0.0,1.6,0.0,10.0,0.0,17.0,0.0,6.3,0.0,2.0,0.0,7.1,0.0,0.0,0.0,122.8
28,N1,LRP012a,no,23.6911108,90.5448886,11.745,0,0.0,0,LRP012b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,N1,LRP012b,no,23.6910552,90.54513859999999,11.770999999999999,0,0.0,0,LRP011c,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,N1,LRP011c,no,23.69091193,90.5454625,11.808,NAYABARI BOX CULVERT,10.6,B,LRP012c,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,N1,LRP012c,no,23.6904163,90.546583,11.936,0,0.0,0,LRP013,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,N1,LRP013,yes,23.6865274,90.5504167,12.524000000000001,0,0.0,0,LRP013a,BlankProcess,0.0,4.7,0.0,80.7,0.0,16.6,0.0,26.8,0.0,11.0,0.0,25.9,0.0,6.3,0.0,32.1,0.0,19.4,0.0,3.3,0.0,0.5,0.0,2.6,0.0,0.0,0.0,226.7
33,N1,LRP013a,no,23.68558303,90.55120798,12.66,MADAN PUR (R),26.3,A,LRP014,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,N1,LRP014,no,23.678166,90.5556111,13.524000000000001,0,0.0,0,LRP014a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,N1,LRP014a,no,23.6778035,90.55581943,13.574000000000002,KAWTALA BOX CULVERT,11.9,A,LRP015,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,N1,LRP015,no,23.670916000000002,90.55977779999999,14.524000000000001,0,0.0,0,LRP015a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,N1,LRP015a,no,23.6705827,90.5599722,14.562999999999999,0,0.0,0,LRP016a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,N1,LRP016a,no,23.66330907,90.56385699,15.465,MALIBAG BOX CULVERT,5.55,B,LRP016,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,N1,LRP016,no,23.662833300000003,90.56411109999999,15.524000000000001,0,0.0,0,LRP016b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,N1,LRP016b,no,23.6591111,90.5697216,16.242,0,0.0,0,LRP016c,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,N1,LRP016c,no,23.658305600000002,90.5709993,16.402,0,0.0,0,LRP017,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,N1,LRP017,no,23.6575,90.57197159999998,16.524,0,0.0,0,LRP017a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,N1,LRP017a,no,23.655972199999997,90.5743327,16.831,0,0.0,0,LRP017b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,N1,LRP017b,no,23.65442571,90.57673023,17.134,LANGOLBANDO PC GIDER BRIDGE,159.5,B,LRP017c,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,N1,LRP017c,no,23.6540556,90.57727709999999,17.204,0,0.0,0,LRP017d,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,N1,LRP017d,no,23.6539167,90.5774993,17.234,0,0.0,0,LRP018,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,N1,LRP018,no,23.6525278,90.5798882,17.524,0,0.0,0,LRP018a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,N1,LRP018a,no,23.650888899999998,90.5826382,17.863,0,0.0,0,LRP018b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,N1,LRP018b,no,23.6506944,90.5829993,17.904,0,0.0,0,LRP018c,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,N1,LRP018c,no,23.6497544,90.58454901,18.093,SONARKALI BRIDGE(L),24.5,B,LRP019,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,N1,LRP019,no,23.647610800000002,90.588083,18.524,0,0.0,0,LRP019a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,N1,LRP019a,no,23.64596859,90.58921198,18.742,MOLLIK PARA P.C(L),40.5,B,LRP019b,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,N1,LRP019b,no,23.6397497,90.5926941,19.521,0,0.0,0,LRP020,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,N1,LRP020,no,23.639694100000003,90.5927219,19.524,0,0.0,0,LRP020a,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,N1,LRP020a,no,23.63795437,90.59366740000002,19.76,KRIBORDI BOX CULVERT,6.0,A,LRP020b,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,N1,LRP020b,no,23.634110800000002,90.59702740000002,20.342,0,0.0,0,LRP020c,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,N1,LRP020c,no,23.6335552,90.5976941,20.442,0,0.0,0,LRP021,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,N1,LRP021,no,23.6330549,90.59827740000001,20.524,0,0.0,0,LRP021c,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,N1,LRP021c,no,23.62846685,90.60230157,21.184,MARIKHALL BRIDGE,89.2,A,LRP021a,BridgesDelay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,N1,LRP021a,no,23.6262771,90.60422220000001,21.499000000000002,0,0.0,0,LRP022,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,N1,LRP022,yes,23.625221600000003,90.6049722,21.629,0,0.0,0,LRP022a,BlankProcess,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,N1,LRP022a,no,23.624221600000002,90.60552779999999,21.765,0,0.0,0,LRP022b,BlankProcess,,,,,,,,,,,,,,,,,,,,,,,,,,,,
