,road,lrp,chainage,length,condition,lat,lon,Time to Repair,Entity Destination Type,Node Name,Failure Type,Uptime Between Failures
27,N1,LRP010b,10.88,6.3,A,23.6943906141361,90.5375740774869,"Uniform(1/6, 1/3)",Specific,LRP011a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
28,N1,LRP011a,10.885,,,23.694360800000002,90.5376108,0.0,Specific,LRP010c,No Failures,0
29,N1,LRP010c,10.897,6.3,A,23.6943023869158,90.5377073719626,"Uniform(1/6, 1/3)",Specific,LRP011a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
30,N1,LRP011a,11.296,8.3,A,23.6923601518691,90.5409183897196,"Uniform(1/6, 1/3)",Specific,LRP011b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
31,N1,LRP011b,11.312999999999999,,,23.6922774,90.5410552,0.0,Specific,LRP012,No Failures,0
32,N1,LRP012,11.497,,,23.6918052,90.5426108,0.0,Specific,LRP012a,No Failures,0
33,N1,LRP012a,11.745,,,23.6911108,90.5448886,0.0,Specific,LRP012b,No Failures,0
34,N1,LRP012b,11.770999999999999,,,23.6910552,90.54513859999999,0.0,Specific,LRP011c,No Failures,0
35,N1,LRP011c,11.808,10.6,B,23.6909119315151,90.5454624957575,"Uniform(0.25, 1)",Specific,LRP012c,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
36,N1,LRP012c,11.936,,,23.6904163,90.546583,0.0,Specific,LRP012a,No Failures,0
37,N1,LRP012a,12.239,9.3,A,23.6884123260204,90.5485585290816,"Uniform(1/6, 1/3)",Specific,LRP012b,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
38,N1,LRP012b,12.253,6.1,A,23.6883197331632,90.548649807653,"Uniform(1/6, 1/3)",Specific,LRP013,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
39,N1,LRP013,12.524000000000001,,,23.6865274,90.5504167,0.0,Specific,LRP013a,No Failures,0
40,N1,LRP013a,12.66,26.3,A,23.685583027027,90.551207981081,"Uniform(0.25, 1)",Specific,LRP013a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
41,N1,LRP013a,12.66,26.3,A,23.685583027027,90.551207981081,"Uniform(0.25, 1)",Specific,LRP013a,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
42,N1,LRP013a,12.672,,,23.6854997,90.5512778,0.0,Specific,LRP014,No Failures,0
43,N1,LRP014,13.524000000000001,,,23.678166,90.5556111,0.0,Specific,LRP014a,No Failures,0
44,N1,LRP014a,13.574,11.9,A,23.6778035,90.5558194349999,"Uniform(0.25, 1)",Specific,LRP015,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
45,N1,LRP015,14.524000000000001,,,23.670916000000002,90.55977779999999,0.0,Specific,LRP015a,No Failures,0
46,N1,LRP015a,14.562999999999999,,,23.6705827,90.5599722,0.0,Specific,LRP016a,No Failures,0
47,N1,LRP016a,15.465,5.55,B,23.6633090696149,90.563856994797,"Uniform(1/6, 1/3)",Specific,LRP016,Processing Time Based,Random.Exponential1*VARIABLERUNTIME
48,N1,LRP016,15.524000000000001,,,23.662833300000003,90.56411109999999,0.0,Specific,LRP016a,No Failures,0
