,Unnamed: 0,Road,LRPName,Lat,Lon,Chainage,Description,Length,Cat,Next Node,Add On Process
76,76,N1,LRP027a,23.586318122539996,90.6345094207093,27.12,MALUAKANDI CULVEDRT,5.6,A,LRP028,BridgesDelay
77,77,N1,LRP028,23.5828327,90.6378886,27.629,0,0.0,0,LRP028a,BlankProcess
78,78,N1,LRP028a,23.5825827,90.6381386,27.668000000000006,0,0.0,0,LRP028b,BlankProcess
79,79,N1,LRP028b,23.577916,90.6419719,28.324,0,0.0,0,LRP028c,BlankProcess
80,80,N1,LRP028c,23.5776104,90.6421108,28.363000000000003,0,0.0,0,LRP029,BlankProcess
81,81,N1,LRP029,23.5745271,90.6436941,28.759,0,0.0,0,LRP029b,BlankProcess
82,82,N1,LRP029b,23.5718327,90.6453052,29.113000000000003,0,0.0,0,LRP029a,BlankProcess
83,83,N1,LRP029a,23.571630625696503,90.6454159236842,29.138,ANARPUR BRIDGE(R),29.0,A,LRP030,BridgesDelay
84,84,N1,LRP030,23.5666111,90.6481663,29.759,0,0.0,0,LRP030a,BlankProcess
85,85,N1,LRP030a,23.5639167,90.6501944,30.127,0,0.0,0,LRP030b,BlankProcess
86,86,N1,LRP030b,23.5636944,90.6504722,30.165,0,0.0,0,LRP030c,BlankProcess
87,87,N1,LRP030c,23.5604167,90.6542222,30.697,0,0.0,0,LRP030d,BlankProcess
88,88,N1,LRP030d,23.5602222,90.6545,30.735,0,0.0,0,LRP031,BlankProcess
89,89,N1,LRP031,23.5599722,90.6548056,30.774,0,0.0,0,LRP031a,BlankProcess
90,90,N1,LRP031a,23.559027800000006,90.6559444,30.936,0,0.0,0,LRP031b,BlankProcess
91,91,N1,LRP031b,23.5564444,90.6588611,31.348000000000006,0,0.0,0,LRP031c,BlankProcess
92,92,N1,LRP031c,23.5562222,90.6591389,31.388,0,0.0,0,LRP032,BlankProcess
93,93,N1,LRP032,23.5538056,90.6619722,31.783,0,0.0,0,LRP032a,BlankProcess
94,94,N1,LRP032a,23.5523333,90.6636667,32.025,0,0.0,0,LRP032d,BlankProcess
95,95,N1,LRP032d,23.5517421907216,90.6643538752577,32.121,BOBARCHAR BRIDGE(L),28.9,A,LRP033,BridgesDelay
96,96,N1,LRP033,23.5487497,90.6678327,32.607,0,0.0,0,LRP033b,BlankProcess
97,97,N1,LRP033b,23.5476246437499,90.669192065625,32.796,NOYAPARA,5.2,A,LRP033a,BridgesDelay
98,98,N1,LRP033a,23.5474163,90.6694438,32.831,0,0.0,0,LRP033c,BlankProcess
99,99,N1,LRP033c,23.5442219,90.6731104,33.351,0,0.0,0,LRP034a,BlankProcess
100,100,N1,LRP034a,23.54268543125,90.6748292125,33.591,MADHAYA BAUSHIA(L),70.0,A,LRP034,BridgesDelay
102,102,N1,LRP034,23.542583,90.6749438,33.607,0,0.0,0,LRP034c,BlankProcess
103,103,N1,LRP034c,23.5393910168,90.67845778879999,34.111,BOCTAR KANDI BOX CULVERT,5.1,C,LRP035,BridgesDelay
104,104,N1,LRP035,23.5362497,90.681916,34.607,0,0.0,0,LRP035a,BlankProcess
105,105,N1,LRP035a,23.536083,90.6821382,34.641,0,0.0,0,LRP035b,BlankProcess
106,106,N1,LRP035b,23.5358608,90.6823604,34.681,0,0.0,0,LRP035c,BlankProcess
