,road,km,Criticality,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc,average_delay,Road_segment_no,Road_segment_label
12,N1,13.574000000000002,,Box Culvert,LRP014a,KAWTALA BOX CULVERT,11.9,A,109794,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,13.574000000000002,22.4,2003.0,2.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6778035,90.55581943,interpolate,,N1-6,Madanpur - Langalband (Left)Z1061 (Left)
13,N1,17.222,,PC Girder Bridge,LRP018b,Darikandi Bridge (R),20.45,A,119926,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.65397226,90.57741042,interpolate,,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left)
14,N1,17.222,,PC Girder Bridge,LRP018a,Darikandi Bridge (L),20.5,A,119921,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,17.222,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.65397226,90.57741042,interpolate,,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left)
15,N1,18.093,,PC Girder Bridge,LRP018c,Sonakhal Bridge(L),25.5,A,119933,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,18.093,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6497544,90.58454901,interpolate,,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left)
16,N1,19.76,,Box Culvert,LRP020a,KRIBORDI BOX CULVERT,6.0,A,109817,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,19.76,21.0,2001.0,1.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.63795437,90.59366740000002,interpolate,,N1-7,Langalband - Mograpara Chowrasta (Left)Z1089 (Left)
17,N1,21.184,,PC Girder Bridge,LRP021c,Marikhali Bridge(L),86.92,A,119944,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.62846685,90.60230157,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
18,N1,21.184,,PC Girder Bridge,LRP021d,Marikhali Bridge(R),89.75,A,119948,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.62846685,90.60230157,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
19,N1,21.184,,PC Girder Bridge,LRP021c,MARIKHALL BRIDGE,89.2,A,101103,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,21.184,9.2,2000.0,3.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.62846685,90.60230157,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
20,N1,22.596,,PC Girder Bridge,LRP023a,ASHIR CHAR (Right),224.8,A,109820,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,22.596,9.15,2004.0,9.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.6176408,90.60955061,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
21,N1,23.081,,PC Girder Bridge,LRP023d,Asharirchar-2 Bridge.(R),119.32,A,119964,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.61358738,90.61090296,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
22,N1,23.081,,PC Girder Bridge,LRP023c,Ashariachar-2 Bridge.(L),119.48,A,119961,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.61358738,90.61090296,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
23,N1,23.081,,PC Girder Bridge,LRP023c,ASHARIR CHAR (L),120.1,A,109796,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,23.081,9.5,2000.0,4.0,Dhaka,Dhaka,Narayanganj,Vitikandi,23.61358738,90.61090296,interpolate,,N1-8,Mograpara(Int.with Z1089)-Meghna Bridge West End (Left) (Left)
24,N1,24.393,,PC Girder Bridge,LRP024a,Meghna Bridge,924.85,A,119967,Dhaka (Jatrabari)-Comilla (Mainamati)-Chittagong-Teknaf Road,24.393,,,,Dhaka,Dhaka,Narayanganj,Vitikandi,23.60275959,90.6155317,interpolate,,N1-9,Meghna Bridge Satrt-Bhaberchar (Left) z1063 (Left)
