	Unnamed: 0	Description	LRPNo	LRPType	LatitudeDec	LongitudeDec	Road	RoadChainage	replaced	zero_lon	zero_lat
88	88	Ctg 227 km,Comilla 60 km	LRP033	Km Post	23.5487497	90.6678327	N1	32.607		False	False
89	89	Bridge start	LRP033a	Bridge	23.5474163	90.6694438	N1	32.831		False	False
90	90	Bridge end	LRP033b	Bridge	23.5469441	90.6699993	N1	32.908		False	False
91	91	Box culvert	LRP033c	Culvert	23.5442219	90.6731104	N1	33.351		False	False
92	92	Km post missing	LRP034	Km Post	23.542583	90.6749438	N1	33.607		False	False
93	93	Km post missing	LRP035	Km Post	23.5362497	90.681916	N1	34.607		False	False
94	94	Bridge start	LRP035a	Bridge	23.536083	90.6821382	N1	34.641		False	False
95	95	Bridge end	LRP035b	Bridge	23.5358608	90.6823604	N1	34.681		False	False
96	96	Box culvert	LRP035c	Culvert	23.5341386	90.6843052	N1	34.956		False	False
97	97	Km post missing	LRP036	Km Post	23.5301938	90.688833	N1	35.607		False	False
98	98	Daudkandi bridge	LRP036a	Bridge	23.529916	90.6952219	N1	36.271		False	False
99	99	Km post missing	LRP037	Km Post	23.5301382	90.6984997	N1	36.607		False	False
100	100	Km post missing	LRP038	Km Post	23.5307493	90.7082778	N1	37.607		False	False
101	101	Daudkandi bridge	LRP038a	Bridge	23.5307771	90.7090278	N1	37.685		False	False
102	102	Start of Comilla road Division	LRP038b	Others	23.5313882	90.7153611	N1	38.04		False	False
103	103	Start of Comilla road Division	LRP038b	Others	23.5313882	90.7153611	N1	38.04		False	False
104	104	Road to Matlab (Z1062)	LRP038c	Side Road, Right	23.531471600000003	90.7172216	N1	38.466		False	False
105	105	Bridge start	LRP038d	Bridge	23.5315271	90.7173604	N1	38.543		False	False
106	106	Bridge end	LRP038e	Bridge	23.5315827	90.7176104	N1	38.56		False	False
107	107	Km post missing	LRP039	Km Post	23.5317216	90.7180271	N1	38.607		False	False
108	108	Box culvert	LRP039a	Culvert	23.5168049	90.7226382	N1	39.12		False	False
109	109	Km post missing	LRP040	Km Post	23.5327216	90.7269993	N1	39.607		False	False
110	110	Km post missing	LRP041	Km Post	23.528916	90.7356108	N1	40.607		False	False
111	111	Ctg 214 km	LRP042	Km Post	23.5289993	90.7419441	N1	41.261		False	False
112	112	Bridge start	LRP042a	Bridge	23.5293882	90.7514167	N1	42.228		False	False
113	113	Bridge end	LRP042b	Bridge	23.5293882	90.7515833	N1	42.245		False	False
114	114	Km post broken	LRP043	Km Post	23.529416	90.75175	N1	42.269		False	False
115	115	Km post Missing	LRP044	Km Post	23.5299993	90.7615	N1	43.269		False	False
116	116	Km post Missing	LRP045	Km Post	23.5304438	90.77130490000002	N1	44.269		False	False
117	117	Box culvert	LRP045a	Culvert	23.5304993	90.7731104	N1	44.45399999999999		False	False
118	118	Km post Missing	LRP046	Km Post	23.5308049	90.7811104	N1	45.269		False	False
119	119	Z1402, road to Pennai	LRP046a	Side Road, Right	23.5307493	90.7816104	N1	45.322		False	False
120	120	Z1053, Road to Homna	LRP046b	Side Road, Left	23.530666	90.7821938	N1	45.38800000000001		False	False
121	121	Box culvert	LRP046c	Culvert	23.5312216	90.7895552	N1	46.161		False	False
122	122	Km post Missing	LRP047	Km Post	23.531166	90.7907219	N1	46.269		False	False
123	123	Z1044	LRP047a	Side Road, Right	23.5306938	90.7924441	N1	47.224		False	False
124	124	Km post Missing	LRP048	Km Post	23.5308604	90.8002222	N1	47.269		False	False
125	125	Bridge start	LRP048a	Bridge	23.5308882	90.8041389	N1	47.672		False	False
126	126	Bridge end	LRP048b	Bridge	23.530916	90.8043611	N1	47.692		False	False
127	127	Km post Missing	LRP049	Km Post	23.5316382	90.8099167	N1	48.269		False	False
128	128	Km post Missing	LRP050	Km Post	23.5332493	90.8194716	N1	49.269		False	False
129	129	Bridge start	LRP050a	Bridge	23.5346663	90.82497159999998	N1	49.863		False	False
130	130	Bridge end	LRP050b	Bridge	23.5347219	90.8251104	N1	49.879		False	False
131	131	Km post Missing	LRP051	Km Post	23.5344997	90.8287216	N1	50.269		False	False
132	132	Km post Missing	LRP052	Km Post	23.529221600000003	90.8365274	N1	51.269		False	False
133	133	Box culvert	LRP052a	Culvert	23.5270549	90.8391386	N1	51.636		False	False
134	134	Km post Missing	LRP053	Km Post	23.523166	90.8438886	N1	52.269		False	False
135	135	Km post Missing	LRP054	Km Post	23.5174993	90.8513889	N1	53.269		False	False
136	136	Km post Missing	LRP055	Km Post	23.5170827	90.8607778	N1	54.269		False	False
137	137	Km post Missing	LRP056	Km Post	23.5135833	90.8697771	N1	55.269		False	False
138	138	Bridge start	LRP056a	Bridge	23.5133056	90.8703049	N1	55.333		False	False
139	139	Bridge end	LRP056b	Bridge	23.5131111	90.8706382	N1	55.375		False	False
140	140	Z1042, road to Bancharampur	LRP056c	Side Road, Left	23.5126667	90.871416	N1	55.477		False	False
141	141	Km post Missing	LRP057	Km Post	23.5088056	90.8778604	N1	56.269		False	False
142	142	Km post Missing	LRP058	Km Post	23.506	90.8869163	N1	57.269		False	False
143	143	Box culvert	LRP058a	Culvert	23.5056111	90.8958886	N1	58.191		False	False
144	144	Km post Missing	LRP059	Km Post	23.5056389	90.8966108	N1	58.269		False	False
145	145	Km post Missing	LRP060	Km Post	23.506277800000003	90.9063889	N1	59.269		False	False
146	146	Box culvert	LRP060a	Culvert	23.50575	90.91525	N1	60.18		False	False
147	147	Km post Missing	LRP061	Km Post	23.5057222	90.9160278	N1	60.269		False	False
148	148	Km post Missing	LRP062	Km Post	23.505527800000007	90.9257216	N1	61.269		False	False
149	149	Km post Missing	LRP063	Km Post	23.5042778	90.9354163	N1	62.269		False	False
150	150	Z1017, Road to Companiganj	LRP063a	Side Road, Left	23.504333300000006	90.9354719	N1	62.278		False	False
151	151	Box culvert	LRP063b	Culvert	23.5038611	90.9371386	N1	62.542		False	False
152	152	Box culvert	LRP063c	Culvert	23.5028611	90.9412774	N1	62.894		False	False
153	153	Km post Missing	LRP064	Km Post	23.5020278	90.9448886	N1	63.269		False	False
154	154	Km post Missing	LRP065	Km Post	23.5003332	90.9541667	N1	64.26899999999999	True	False	False
155	155	Km post Missing	LRP066	Km Post	23.498638600000003	90.9651111	N1	65.26899999999999		False	False
156	156	Box culvert	LRP066a	Culvert	23.4980552	90.9660278	N1	65.543		False	False
157	157	Ctg 191 km	LRP067	Km Post	23.4972774	90.9674716	N1	65.726		False	False
158	158	Km post Missing	LRP068	Km Post	23.4942219	90.9765549	N1	66.726		False	False
159	159	Box culvert	LRP068a	Culvert	23.495138600000004	90.9829993	N1	67.42		False	False
160	160	Km post Missing	LRP069	Km Post	23.4942497	90.985833	N1	67.726		False	False
161	161	Km post Missing	LRP070	Km Post	23.491138600000006	90.9950274	N1	68.726		False	False
162	162	Road to Debiduar (Z1008)	LRP070a	Side Road, Left	23.489444100000004	91.0033056	N1	69.616		False	False
163	163	Road to Jhalam (Z1022)	LRP070b	Side Road, Right	23.4893886	91.0034722	N1	69.638		False	False
164	164	Ctg 188 km	LRP071	Km Post	23.4896108	91.0043056	N1	69.709		False	False
165	165	Ctg 188 km,Comilla 20 km	LRP072	Km Post	23.4893052	91.0112778	N1	70.443		False	False
166	166	Bridge start	LRP072a	Bridge	23.4890552	91.0120278	N1	70.527		False	False
167	167	Bridge end	LRP072b	Bridge	23.4889441	91.01225	N1	70.557		False	False
168	168	Ctg 187 km	LRP073	Km Post	23.488333	91.0140833	N1	70.755		False	False
169	169	Km post missing	LRP074	Km Post	23.484638600000004	91.0229438	N1	71.775		False	False
170	170	Km post missing	LRP075	Km Post	23.4827771	91.0321382	N1	72.775		False	False
171	171	Box culvert	LRP075a	Culvert	23.481166	91.0404441	N1	73.688		False	False
172	172	Ctg 184 km	LRP076	Km Post	23.481471600000006	91.0419719	N1	73.829		False	False
173	173	Box culvert	LRP076a	Culvert	23.4820827	91.0504167	N1	74.7		False	False
174	174	Km post missing	LRP077	Km Post	23.4821382	91.0516944	N1	74.829		False	False
175	175	Road to Khangsanagar (Z1219) left road to Barua Z1028 right	LRP077a	Side Road, Left	23.4815271	91.0590278	N1	75.589		False	False
176	176	Km post missing	LRP078	Km Post	23.4815549	91.06136109999998	N1	75.829		False	False
177	177	Km post missing	LRP079	Km Post	23.4801104	91.0706382	N1	76.829		False	False
