road,km,type,LRPName,name,length,condition,structureNr,roadName,chainage,width,constructionYear,spans,zone,circle,division,sub-division,lat,lon,EstimatedLoc
Z2002,9.04,RCC Girder Bridge,LRP009a,PATAPICHYTROGUTBRIDGE,50.35,D,107172,Moulvibazar-Shamshernagar-Chatla Check Post Road,9.04,4.9,1980,3,Sylhet,Moulavi Bazar,Moulavi Bazar,Moulavi Bazar,24.44313889,91.83277778,bcs1
Z3603,6.239,Slab Culvert,LRP006b,JALEBART(3),1.2,A,112815,Kishoreganj-Karimganj-Chamraghat-Mithamain Road,6.239,8.1,2002,1,Mymensingh,Mymensingh,Kishoreganj,Kishoreganj,24.44308333,90.84502778,bcs1
Z2822,11.672,Baily with Steel Deck,LRP011b,SHAPUR BAILEY WITH STEEL DECK,8.3,D,107770,Kulaura-Prithmpasha-Hazipur-Sharifpur RoadRoad,11.672,3.4,1985,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.44288889,91.96338889,bcs1
N3,74.47,Box Culvert,LRP076b,BORDUBA SUBMARGE,1.5,A,101467,Dhaka (Banani)-Joydebpur-Mymensingh Road,74.47,10.3,1964,1,Mymensingh,Mymensingh,Mymensingh,Bhaluka,24.44280556,90.38336111,bcs1
R680,24.193,Box Culvert,LRP024a,.,3.53,A,100200,Rajshahi-Godagari-Nawabganj Road,24.193,12.7,2000,1,Rajshahi,Rajshahi,Rajshahi,Rajshahi-2,24.44277778,88.35194444,bcs1
Z2822,8.895,Box Culvert,LRP009a,BIJLI BOX CULVERT,1,A,107763,Kulaura-Prithmpasha-Hazipur-Sharifpur RoadRoad,8.895,5.6,1998,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.44277778,91.99055556,bcs1
Z2822,9.462,Steel Beam & RCC Slab,LRP009c,BIJLI STEEL BEEM & RCC,10.4,C,107765,Kulaura-Prithmpasha-Hazipur-Sharifpur RoadRoad,9.462,3.1,1980,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.44266667,91.98541667,bcs1
Z2403,7.049,Box Culvert,LRP007a,CHUNGIR BANGA,18.6,D,104094,Habiganj-Baniyachang-Ajmiriganj-Sullah Road,7.049,7.2,1975,3,Sylhet,Moulavi Bazar,Habiganj,Habigonj,24.44263889,91.38027778,bcs1
Z2822,9.829,Box Culvert,LRP009d,BIJLI BOX CULVERT,3,A,107769,Kulaura-Prithmpasha-Hazipur-Sharifpur RoadRoad,9.829,4.2,1993,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Kulaura,24.44258333,91.98172222,bcs1
N207,39.61,Box Culvert,LRP039b,GOMRA CULVERT,4.5,A,100056,Mirpur-Srimongal-Moulvibazar-Sherpur Road,39.61,9.75,1982,1,Sylhet,Moulavi Bazar,Moulavi Bazar,Moulavi Bazar,24.44233333,91.76136111,bcs1
