road;km;type;LRPName;name;length;condition;structureNr;roadName;chainage;width;constructionYear;spans;zone;circle;division;sub-division;lat;lon;EstimatedLoc
N516;7.775;Box Culvert;LRP008c;.;3.67;A;110353;Naogaon Town By-Pass Road;7.775;10.94;1999;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.81491506;88.9785803;interpolate
N517;0.759;Box Culvert;LRPSd;.;3.6;A;109880;Rangpur Town Old Section (Modern More-Medical More);0.759;12.2;1999;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.71563686;89.26199323;interpolate
N517;3.156;Box Culvert;LRP002a;.;2.15;A;109888;Rangpur Town Old Section (Modern More-Medical More);3.156;18.2;1999;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.73386562;89.25472692;interpolate
N517;4.115;Box Culvert;LRP003b;.;15;A;109894;Rangpur Town Old Section (Modern More-Medical More);4.115;12.2;1999;3;Rangpur;Rangpur;Rangpur;Rangpur-1;25.74194382;89.25400769;interpolate
N517;6.904;Slab Culvert;LRP006b;.;2.1;A;109896;Rangpur Town Old Section (Modern More-Medical More);6.904;14.5;1999;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.75918788;89.24114411;interpolate
N518;0.447;Box Culvert;LRPSb;.;6.6;A;109844;Sayedpur Town Old Section (Sutkir More-Sonapukur);0.447;9.55;1990;1;Rangpur;Dinajpur;Nilphamari;Nilphamari;25.78015341;88.91185059;interpolate
N518;0.513;Box Culvert;LRPSc;.;1.85;A;109849;Sayedpur Town Old Section (Sutkir More-Sonapukur);0.513;27.25;1996;1;Rangpur;Dinajpur;Nilphamari;Nilphamari;25.78024011;88.91115688;interpolate
N518;1.832;Slab Culvert;LRP002a;.;6.5;A;109852;Sayedpur Town Old Section (Sutkir More-Sonapukur);1.832;6.75;1992;1;Rangpur;Dinajpur;Nilphamari;Nilphamari;25.77812333;88.89848569;interpolate
N518;2.796;Box Culvert;LRP003a;.;13.85;A;109857;Sayedpur Town Old Section (Sutkir More-Sonapukur);2.796;6.85;1995;4;Rangpur;Dinajpur;Nilphamari;Nilphamari;25.77690734;88.88982719;interpolate
N518;3.959;RCC Girder Bridge;LRP004a;.;49.06;A;109864;Sayedpur Town Old Section (Sutkir More-Sonapukur);3.959;5.05;1985;3;Rangpur;Dinajpur;Nilphamari;Nilphamari;25.77376364;88.87851984;interpolate
R545;19.319;RCC Girder Bridge;LRP019a;Nagar bridge;72.83;A;119378;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;19.319;;;;Rangpur;Bogra;Bogra;Bogra;24.87712295;89.18434009;interpolate
R545;37.018;RCC Girder Bridge;LRP037a;Indoil Bridge;18.83;A;119715;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;37.018;;;;Rangpur;Bogra;Bogra;Bogra;24.81778114;89.02553189;interpolate
R545;44.836;RCC Girder Bridge;LRP044a;Tulshiganga Bridge;31.85;A;118737;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;44.836;;;;Rajshahi;Rajshahi;Naogaon;Naogaon;24.80427879;88.95838089;interpolate
R545;50.921;RCC Girder Bridge;LRP051a;Falimara Bridge;44.3;A;118743;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;50.921;;;;Rajshahi;Rajshahi;Naogaon;Naogaon;24.83618954;88.91474553;interpolate
R545;67.89;Box Culvert;LRP067e;.;6.8;A;101912;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;67.89;9.16;2001;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.90416497;88.7713349;interpolate
R545;69.291;RCC Girder Bridge;LRP069a;Hossainpur Bridge;43.3;A;118744;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;69.291;;;;Rajshahi;Rajshahi;Naogaon;Patnitala;24.90773789;88.75830399;interpolate
R545;97.077;RCC Girder Bridge;LRP097a;Bihari Nagar Bridge.;52.07;A;102174;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;97.077;7.85;1991;4;Rajshahi;Rajshahi;Naogaon;Patnitala;25.12657376;88.83378857;interpolate
R545;97.077;RCC Girder Bridge;LRP097a;Biharinagar Bridge;52;A;118745;Bogra-Naogaon-Mohadebpur-Patnitala-Dhamoirhat-Joypurhat Road;97.077;;;;Rajshahi;Rajshahi;Naogaon;Patnitala;25.12657376;88.83378857;interpolate
R547;1.929;Slab Culvert;LRP001a;.;2.27;A;103793;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;1.929;8.8;2000;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.84940779;88.92780209;interpolate
R547;2.714;Box Culvert;LRP002a;.;7.3;A;103796;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;2.714;6.7;1990;2;Rajshahi;Rajshahi;Naogaon;Naogaon;24.85568357;88.92516735;interpolate
R547;3.275;PC Girder Bridge;LRP003a;Paharpur Bridge;31.35;A;118747;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;3.275;;;;Rajshahi;Rajshahi;Naogaon;Naogaon;24.86019446;88.92271688;interpolate
R547;5.017;Box Culvert;LRP005a;.;3.6;A;103892;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;5.017;7.3;1998;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.87519334;88.92070109;interpolate
R547;8.446;Box Culvert;LRP008a;.;3.6;A;103945;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;8.446;7.3;1994;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.90406558;88.91662728;interpolate
R547;9.58;Box Culvert;LRP009a;.;8.9;A;103947;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;9.58;7.3;1990;2;Rajshahi;Rajshahi;Naogaon;Naogaon;24.91373283;88.91265199;interpolate
R547;12.279;Box Culvert;LRP012a;.;8.85;A;104047;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;12.279;7.25;1990;2;Rajshahi;Rajshahi;Naogaon;Naogaon;24.93701955;88.90842519;interpolate
R547;15.168;Slab Culvert;LRP015a;.;2.42;A;104054;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;15.168;8.6;1993;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.96142301;88.90677416;interpolate
R547;19.453;Slab Culvert;LRP019b;.;3.5;A;104127;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;19.453;7.3;1998;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.97450217;88.87086361;interpolate
R547;21.519;Baily with Steel Deck;LRP021a;.;39;A;104144;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;21.519;5;1997;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.98076839;88.85199927;interpolate
R547;21.519;RCC Girder Bridge;LRP021a;Poinary Bridge;40.78;A;118752;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;21.519;;;;Rajshahi;Rajshahi;Naogaon;Naogaon;24.98076839;88.85199927;interpolate
R547;24.618;Box Culvert;LRP024a;.;8.9;A;104151;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;24.618;7.25;1990;2;Rajshahi;Rajshahi;Naogaon;Naogaon;24.99281361;88.82583271;interpolate
R547;26.02;Box Culvert;LRP026a;.;5.2;A;104165;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;26.02;7.3;1990;1;Rajshahi;Rajshahi;Naogaon;Naogaon;25.0016145;88.81597151;interpolate
R547;30.165;Box Culvert;LRP030a;.;10.1;A;104306;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;30.165;7.3;1998;2;Rajshahi;Rajshahi;Naogaon;Naogaon;25.02526672;88.78488117;interpolate
R547;34.062;Slab Culvert;LRP034a;.;7.3;A;104313;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;34.062;9.75;1989;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.04400795;88.75319771;interpolate
R547;34.447;RCC Girder Bridge;LRP035a;Siddique Pratap Bridge.;171.15;A;104332;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;34.447;8.9;1994;5;Rajshahi;Rajshahi;Naogaon;Patnitala;25.04522701;88.74986674;interpolate
R547;39.924;Slab Culvert;LRP040a;.;2.75;A;104368;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;39.924;9.75;1996;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.07492113;88.70872506;interpolate
R547;50.21;Box Culvert;LRP051a;.;13.3;A;104411;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;50.21;9.7;1998;2;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11191239;88.615873;interpolate
R547;50.811;Slab Culvert;LRP051c;.;4.2;A;104412;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;50.811;9.8;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11425005;88.61054373;interpolate
R547;51.342;Slab Culvert;LRP052a;.;4.25;A;104415;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;51.342;9.7;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11657895;88.6055523;interpolate
R547;52.189;Slab Culvert;LRP053a;.;4.2;A;104417;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;52.189;9.7;1996;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.1205642;88.59868599;interpolate
R547;54.409;Slab Culvert;LRP055b;.;4.3;A;105187;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;54.409;9.75;1993;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.1206928;88.58022781;interpolate
R547;55.216;Slab Culvert;LRP056a;.;5.85;A;105190;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;55.216;9.7;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11796319;88.57286604;interpolate
R547;55.553;Slab Culvert;LRP056b;.;4.2;A;105192;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;55.553;9.75;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11693708;88.56980967;interpolate
R547;55.938;Slab Culvert;LRP056c;.;5.6;A;105193;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;55.938;9.7;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11579587;88.56632849;interpolate
R547;56.047;Slab Culvert;LRP056d;.;5.6;A;105194;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;56.047;9.65;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.11546395;88.56524385;interpolate
R547;58.264;Slab Culvert;LRP059a;.;5.7;A;105198;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;58.264;9.7;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.10635953;88.54539172;interpolate
R547;69.139;Box Culvert;LRP070a;.;3.6;A;114878;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;69.139;8.5;1996;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.01575568;88.52753898;interpolate
R547;69.949;Box Culvert;LRP070b;.;3.65;A;114877;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;69.949;8.5;1991;1;Rajshahi;Rajshahi;Naogaon;Patnitala;25.00940091;88.52379742;interpolate
R547;71.417;Box Culvert;LRP072a;.;3.65;A;114879;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;71.417;8.5;1991;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.99804787;88.51655539;interpolate
R547;72.443;Box Culvert;LRP073a;.;3.65;A;114880;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;72.443;8.55;1992;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.98966954;88.51148349;interpolate
R547;75.64;Box Culvert;LRP076b;.;3.65;A;114881;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;75.64;8.5;1994;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.96503606;88.49895057;interpolate
R547;77.043;Box Culvert;LRP078a;.;3.6;A;114882;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;77.043;8.5;1992;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.95419906;88.49129228;interpolate
R547;77.598;Box Culvert;LRP078b;.;3.6;A;114883;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;77.598;8.5;1996;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.95120449;88.48830608;interpolate
R547;78.331;Box Culvert;LRP079a;.;3.6;A;114884;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;78.331;8.55;1997;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.94448997;88.48519055;interpolate
R547;79.071;Box Culvert;LRP080a;.;6.85;A;114885;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;79.071;8.55;1988;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.93841131;88.48259017;interpolate
R547;79.734;Slab Culvert;LRP080b;.;2;A;114886;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;79.734;9.2;1988;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.93247861;88.48089873;interpolate
R547;80.432;Box Culvert;LRP081a;.;3.6;A;114887;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;80.432;8.5;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.92581579;88.4785723;interpolate
R547;80.773;Box Culvert;LRP081b;.;3.6;A;114888;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;80.773;8.55;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.92119582;88.47713323;interpolate
R547;81.205;Box Culvert;LRP082a;.;3.6;A;114889;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;81.205;8.5;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.92020815;88.47600853;interpolate
R547;82.381;Box Culvert;LRP083a;.;6.85;A;114890;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;82.381;8.55;1998;1;Rajshahi;Rajshahi;Naogaon;Patnitala;24.91014356;88.47270978;interpolate
R547;83.586;Box Culvert;LRP084a;.;3.6;A;114891;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;83.586;8.5;1992;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.90029551;88.46785617;interpolate
R547;83.954;Slab Culvert;LRP084b;.;2.65;A;114892;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;83.954;7.45;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.89749996;88.46588303;interpolate
R547;84.886;Box Culvert;LRP085a;.;3.6;A;114893;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;84.886;8.55;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.89064484;88.46072889;interpolate
R547;86.73;Box Culvert;LRP087b;.;3.6;A;114894;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;86.73;8.55;1994;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.8761546;88.45185971;interpolate
R547;87.883;Box Culvert;LRP088a;.;3.64;A;114895;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;87.883;8.55;1994;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.86612576;88.44683458;interpolate
R547;89.584;Slab Culvert;LRP090a;.;2.5;A;114896;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;89.584;9.75;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.85931365;88.43580928;interpolate
R547;89.805;Slab Culvert;LRP090b;.;3.8;A;114897;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;89.805;9.7;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.85889174;88.43360464;interpolate
R547;90.213;Box Culvert;LRP091a;.;4.2;A;114898;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;90.213;9.7;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.85816903;88.429946;interpolate
R547;91.775;Slab Culvert;LRP092a;.;4.14;A;114904;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;91.775;9.7;1989;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.85202049;88.41607287;interpolate
R547;93.31;Slab Culvert;LRP094a;.;1.5;A;114902;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;93.31;11.46;1998;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.84613587;88.40274193;interpolate
R547;93.418;Slab Culvert;LRP094b;.;1.5;A;114903;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;93.418;11.78;1998;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.8456534;88.4018107;interpolate
R547;93.558;Slab Culvert;LRP094c;.;1.4;A;114905;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;93.558;11.3;1998;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.84512062;88.40055455;interpolate
R547;95.543;Slab Culvert;LRP096a;.;4.75;A;114906;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;95.543;9.75;1998;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.8394997;88.38205361;interpolate
R547;96.294;Slab Culvert;LRP097a;.;2.7;A;114907;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;96.294;9.76;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.83846538;88.37468494;interpolate
R547;96.594;Slab Culvert;LRP097b;.;1.5;A;114908;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;96.594;10.7;1998;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.83735597;88.37179667;interpolate
R547;97.392;Slab Culvert;LRP098a;.;4.22;A;114909;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;97.392;9.75;1994;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.83418889;88.3645982;interpolate
R547;98.522;Slab Culvert;LRp099a;.;4.3;A;114911;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;98.522;9.8;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.83036715;88.35459569;interpolate
R547;99.601;Slab Culvert;LRP100a;.;4.2;A;114912;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;99.601;9.8;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.82658495;88.34431746;interpolate
R547;99.901;Slab Culvert;LRP100b;.;1.5;A;114913;Naogaon-Badalgachhi-Patnitala-Shapahar-Porsha-Rohonpur Road;99.901;14.1;1996;1;Rajshahi;Rajshahi;Nawabganj;Nawabganj;24.82540337;88.34176768;interpolate
R548;1.46;Box Culvert;LRP002a;.;10.3;A;100622;Naogaon-Atrai-Natore Road;1.46;7.3;1988;3;Rajshahi;Rajshahi;Naogaon;Naogaon;24.79145692;88.95876225;interpolate
R548;3.686;Slab Culvert;LRP004a;.;4.15;A;100635;Naogaon-Atrai-Natore Road;3.686;7.3;1990;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.77219745;88.95796896;interpolate
R548;3.918;Slab Culvert;LRP004b;.;1.9;A;100637;Naogaon-Atrai-Natore Road;3.918;5.1;1990;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.77019252;88.95784368;interpolate
R548;4.904;Slab Culvert;LRP005a;.;1.67;A;100720;Naogaon-Atrai-Natore Road;4.904;9.7;1987;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.76295251;88.96120958;interpolate
R548;6.969;Box Culvert;LRP007e;.;3.6;A;100740;Naogaon-Atrai-Natore Road;6.969;7.3;1990;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.74565504;88.96204981;interpolate
R548;8.786;Slab Culvert;LRP009b;.;5.7;A;100754;Naogaon-Atrai-Natore Road;8.786;7.3;1986;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.73389361;88.95247891;interpolate
R548;14.11;Box Culvert;LRP015a;Sluice Gate;4.36;A;100756;Naogaon-Atrai-Natore Road;14.11;9.8;1989;2;Rajshahi;Rajshahi;Naogaon;Naogaon;24.7078707;88.92092671;interpolate
R548;21.238;Box Culvert;LRP022a;Sluice Gate;2.1;A;100762;Naogaon-Atrai-Natore Road;21.238;16.4;1992;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.65451111;88.94305322;interpolate
R548;27.668;Box Culvert;LRP028a;Sluice Gate;4.58;A;100760;Naogaon-Atrai-Natore Road;27.668;6.9;1996;2;Rajshahi;Rajshahi;Naogaon;Naogaon;24.61400145;88.97344829;interpolate
R548;27.8;Truss with Steel Deck;LRP028b;Atrai Bridge;142.1;A;100961;Naogaon-Atrai-Natore Road;27.8;4;1976;3;Rajshahi;Rajshahi;Naogaon;Naogaon;24.61339586;88.97437089;interpolate
R548;37.807;PC Girder Bridge;LRP037a;Naldanga Bridge.;102.85;A;106350;Naogaon-Atrai-Natore Road;37.807;10;2005;4;Rajshahi;Pabna;Natore;Natore-1;24.52385838;88.96063797;interpolate
R548;38.188;Box Culvert;LRP038a;.;4.54;A;100921;Naogaon-Atrai-Natore Road;38.188;4.25;1998;1;Rajshahi;Pabna;Natore;Natore-1;24.52046715;88.96044843;interpolate
R548;41.687;Box Culvert;LRP041a;.;6;A;100923;Naogaon-Atrai-Natore Road;41.687;5.35;1999;1;Rajshahi;Pabna;Natore;Natore-1;24.49352697;88.9526819;interpolate
R548;42.171;RCC Girder Bridge;LRP041a;Naldanga Bridge;103.28;A;119473;Naogaon-Atrai-Natore Road;42.171;;;;Rajshahi;Pabna;Natore;Natore-1;24.49019275;88.95196936;interpolate
R548;42.909;Box Culvert;LRP042a;.;3.63;A;100924;Naogaon-Atrai-Natore Road;42.909;7.39;2000;1;Rajshahi;Pabna;Natore;Natore-1;24.48425781;88.95158638;interpolate
R548;46.653;Box Culvert;LRP046b;.;3.61;A;100942;Naogaon-Atrai-Natore Road;46.653;7.3;1989;1;Rajshahi;Pabna;Natore;Natore-1;24.46063581;88.95911524;interpolate
R548;47.626;Box Culvert;LRP047a;.;3;A;100946;Naogaon-Atrai-Natore Road;47.626;7.3;1996;1;Rajshahi;Pabna;Natore;Natore-1;24.45304233;88.95746541;interpolate
R548;49.866;Box Culvert;LRP049b;.;3.03;A;100953;Naogaon-Atrai-Natore Road;49.866;7.3;1989;1;Rajshahi;Pabna;Natore;Natore-1;24.43414925;88.95869444;interpolate
R549;4.26;Slab Culvert;LRP004a;.;1.6;A;100472;Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road;4.26;6.8;1985;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.98760653;88.93284427;interpolate
R549;5.82;Slab Culvert;LRP005b;.;2.3;A;100478;Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road;5.82;5.2;1985;1;Rajshahi;Rajshahi;Naogaon;Naogaon;24.99817738;88.9409719;interpolate
R549;7.317;Slab Culvert;LRP007d;.;2.9;A;100482;Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road;7.317;6.2;1985;1;Rajshahi;Rajshahi;Naogaon;Naogaon;25.01039596;88.94484902;interpolate
R549;14.096;Box Culvert;LRP014b;.;3.95;A;100593;Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road;14.096;8.2;1985;1;Rajshahi;Rajshahi;Naogaon;Naogaon;25.05457141;88.98168582;interpolate
R549;15.314;Box Culvert;LRP016a;.;3;A;100597;Badalgachhi-Paharpur-Joypurhat (Khanjanpur) Road;15.314;6.5;1985;1;Rajshahi;Rajshahi;Naogaon;Naogaon;25.06505557;88.98121597;interpolate
R550;9.529;RCC Girder Bridge;LRP009b;;74;A;119384;Mokamtala-Kalai-Joypurhat Road;9.529;;;;Rangpur;Bogra;Bogra;Bogra;25.03570234;89.27963409;interpolate
R555;4.653;Box Culvert;LRP004b;.;6.83;A;109642;Palashbari-Gaibandah Road;4.653;9.55;1992;2;Rangpur;Bogra;Gaibanda;Palashbari;25.29373257;89.3963342;interpolate
R555;4.942;Box Culvert;LRP005a;.;13.5;A;109643;Palashbari-Gaibandah Road;4.942;7.07;1993;4;Rangpur;Bogra;Gaibanda;Palashbari;25.29469721;89.39895951;interpolate
R555;5.749;Box Culvert;LRP005c;.;3.54;A;109644;Palashbari-Gaibandah Road;5.749;9.55;1994;1;Rangpur;Bogra;Gaibanda;Palashbari;25.29442703;89.40688089;interpolate
R555;8.768;Baily with Steel Deck;LRP008b;.;39.85;A;110013;Palashbari-Gaibandah Road;8.768;4.23;1995;1;Rangpur;Bogra;Gaibanda;Palashbari;25.30341878;89.43430241;interpolate
R555;9.975;Box Culvert;LRP010a;.;5.15;A;110033;Palashbari-Gaibandah Road;9.975;9.55;1991;1;Rangpur;Bogra;Gaibanda;Palashbari;25.30536903;89.44610385;interpolate
R555;16.512;Box Culvert;LRP016a;.;3.55;A;110049;Palashbari-Gaibandah Road;16.512;9.53;1994;1;Rangpur;Bogra;Gaibanda;Gaibanda;25.32276684;89.5075679;interpolate
R556;0.362;Box Culvert;LRPSa;.;7.3;A;109323;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;0.362;9.75;1988;2;Rangpur;Rangpur;Rangpur;Rangpur-1;25.57909727;89.27020114;interpolate
R556;0.736;Box Culvert;LRPSb;.;5.2;A;109325;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;0.736;9.8;1990;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.5779463;89.2667062;interpolate
R556;0.989;Box Culvert;LRPSc;.;5.2;A;109329;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;0.989;9.75;1990;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.57723579;89.26436109;interpolate
R556;2.25;Box Culvert;LRP002a;.;10.1;A;109333;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;2.25;9.8;1990;2;Rangpur;Rangpur;Rangpur;Rangpur-1;25.5735731;89.25248062;interpolate
R556;2.784;Box Culvert;LRP002b;.;3.65;A;109337;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;2.784;9.75;1990;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.57207448;89.24720686;interpolate
R556;3.236;RCC Girder Bridge;LRP003a;.;23.2;A;109338;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;3.236;9.52;2004;1;Rangpur;Rangpur;Rangpur;Rangpur-1;25.57081591;89.24303617;interpolate
R556;3.236;RCC Girder Bridge;LRP003a;Akira Bridge;23.2;A;119438;Mithapukur-Shahebganj-Maddahpara-Fulbaria Road;3.236;;;;Rangpur;Rangpur;Rangpur;Rangpur-1;25.57081591;89.24303617;interpolate
